id,date,prix,nb_chambres,nb_sdb,m2_interieur,m2_jardin,m2_etage,m2_soussol,nb_etages,vue_mer,vue_note,etat_note,design_note,annee_construction,annee_renovation,m2_interieur_15voisins,m2_jardin_15voisins,zipcode,cluster_tres_bas,cluster_bas,cluster_moyen,cluster_eleve,cluster_tres_eleve
4443800785,2014-11-21T00:00:00Z,481000,2,1.0,150.5016722408027,360.460795243404,85.47008547008548,65.03158677071721,1.0,0,0,4,7,1924,0,123.5600148643627,360.460795243404,98117,0,0,1,0,0
2722059013,2015-02-04T00:00:00Z,550000,2,1.0,117.98587885544408,4046.8227424749166,117.98587885544408,0.0,1.0,0,0,4,5,1908,0,173.72723894463027,646.5997770345597,98042,0,0,0,1,0
8856004730,2014-09-17T00:00:00Z,199950,2,2.75,147.71460423634338,1943.2367149758452,147.71460423634338,0.0,1.5,0,0,3,5,1920,0,121.7019695280565,557.4136008918618,98001,1,0,0,0,0
2473003210,2015-03-13T00:00:00Z,364808,3,1.75,215.5332590115199,731.6053511705686,150.5016722408027,65.03158677071721,1.0,0,0,3,8,1967,0,184.8755109624675,903.010033444816,98058,0,1,0,0,0
6743700335,2014-06-04T00:00:00Z,470000,3,2.0,167.22408026755855,1176.9788182831662,167.22408026755855,0.0,1.0,0,0,3,7,1956,1990,183.01746562616128,908.1196581196582,98033,0,0,1,0,0
9406510130,2015-05-05T00:00:00Z,448000,5,3.5,347.45447788926054,2293.19955406912,256.4102564102564,91.0442214790041,2.0,0,0,3,9,1998,0,267.55852842809367,2417.59568933482,98038,0,0,1,0,0
868000905,2014-07-08T00:00:00Z,950000,3,2.5,323.29988851727984,724.6376811594204,162.57896692679302,160.72092159048682,1.0,0,0,4,7,1941,1998,279.635823114084,921.4046822742476,98177,0,0,0,0,1
4309710240,2014-07-22T00:00:00Z,725000,4,2.5,277.77777777777777,2709.959123002601,277.77777777777777,0.0,2.0,0,3,3,9,1999,0,345.1319212188778,2709.959123002601,98059,0,0,0,0,1
7167000020,2014-06-16T00:00:00Z,792500,4,2.5,398.5507246376812,16297.008547008549,398.5507246376812,0.0,2.0,0,0,3,10,2004,0,313.08063916759573,5867.892976588629,98010,0,0,0,0,1
7222000090,2014-05-06T00:00:00Z,580000,4,3.25,331.56819026384244,773.5971757710888,331.56819026384244,0.0,2.0,0,0,3,10,2013,0,236.9007803790413,487.8298030471944,98055,0,0,0,1,0
